profile_mode,run_index,sample_role,grid_size,render_grid,workers,warmup_runs,timed_repeats,timing_scope,elapsed_seconds,avg_cpu_percent,peak_cpu_percent,peak_rss_gib,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction,throughput_mpoints_per_s
worker_sweep,1,timed,4096.0,1024.0,1.0,1,3,full_compute_plus_resource_monitor,22.91709774600031,5.9,24.0,3.1979026794433594,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,0.7320829271642002
worker_sweep,2,timed,4096.0,1024.0,1.0,1,3,full_compute_plus_resource_monitor,22.440747890999774,5.758536585365854,26.5,2.995838165283203,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,0.7476228547056925
worker_sweep,3,timed,4096.0,1024.0,1.0,1,3,full_compute_plus_resource_monitor,21.3095262060001,4.007692307692308,5.8,3.136341094970703,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,0.7873106064308486
worker_sweep,1,timed,4096.0,1024.0,8.0,1,3,full_compute_plus_resource_monitor,4.446274939999967,10.5875,12.8,3.049205780029297,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,3.7733195149646157
worker_sweep,2,timed,4096.0,1024.0,8.0,1,3,full_compute_plus_resource_monitor,3.38581195200004,11.766666666666666,13.5,3.323505401611328,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.9551529257522695
worker_sweep,3,timed,4096.0,1024.0,8.0,1,3,full_compute_plus_resource_monitor,4.450982697999734,14.1875,18.1,3.6143264770507812,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,3.7693285142491475
worker_sweep,1,timed,4096.0,1024.0,16.0,1,3,full_compute_plus_resource_monitor,3.4852249240002493,19.0,23.4,4.07391357421875,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.813811551864938
worker_sweep,2,timed,4096.0,1024.0,16.0,1,3,full_compute_plus_resource_monitor,3.6545401939997646,17.783333333333335,24.2,3.878650665283203,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.590787105733795
worker_sweep,3,timed,4096.0,1024.0,16.0,1,3,full_compute_plus_resource_monitor,4.034677070000271,17.65714285714286,23.0,4.169963836669922,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.158254975285761
worker_sweep,1,timed,4096.0,1024.0,32.0,1,3,full_compute_plus_resource_monitor,3.7953198689997407,32.35,40.8,4.919742584228516,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.42050119069981
worker_sweep,2,timed,4096.0,1024.0,32.0,1,3,full_compute_plus_resource_monitor,4.141971535999801,35.25,40.7,5.329105377197266,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.050538699791009
worker_sweep,3,timed,4096.0,1024.0,32.0,1,3,full_compute_plus_resource_monitor,3.956060757999694,32.449999999999996,40.6,4.9605712890625,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,4.240889366037713
worker_sweep,1,timed,4096.0,1024.0,64.0,1,3,full_compute_plus_resource_monitor,3.216518330999861,51.575,69.4,6.997825622558594,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.215955350947672
worker_sweep,2,timed,4096.0,1024.0,64.0,1,3,full_compute_plus_resource_monitor,3.184241701999781,51.779999999999994,69.6,6.9221038818359375,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.268826166513522
worker_sweep,3,timed,4096.0,1024.0,64.0,1,3,full_compute_plus_resource_monitor,2.8526161589998082,54.725,77.1,7.513187408447266,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.881343673620103
worker_sweep,1,timed,4096.0,1024.0,88.0,1,3,full_compute_plus_resource_monitor,2.6309928959999525,73.83333333333333,99.5,9.351997375488281,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,6.376762181877173
worker_sweep,2,timed,4096.0,1024.0,88.0,1,3,full_compute_plus_resource_monitor,2.8958522460002314,58.725,81.9,8.454540252685547,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.793533155281936
worker_sweep,3,timed,4096.0,1024.0,88.0,1,3,full_compute_plus_resource_monitor,2.9224557799998365,58.9,84.3,8.85189437866211,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.740793792267727
grid_sweep,1,timed,1024.0,256.0,64.0,1,3,full_compute_plus_resource_monitor,0.811762937000367,5.3,5.3,0.08182144165039062,0.9999980926513672,6.814431790221768,0.3419170379638672,0.32904052734375,0.32904052734375,1.291726872718169
grid_sweep,2,timed,1024.0,256.0,64.0,1,3,full_compute_plus_resource_monitor,0.8167957370001204,6.3,6.3,0.6905632019042969,0.9999980926513672,6.814431790221768,0.3419170379638672,0.32904052734375,0.32904052734375,1.2837677187826035
grid_sweep,3,timed,1024.0,256.0,64.0,1,3,full_compute_plus_resource_monitor,0.8129657509998651,6.0,6.0,1.5703010559082031,0.9999980926513672,6.814431790221768,0.3419170379638672,0.32904052734375,0.32904052734375,1.289815713282335
grid_sweep,1,timed,2048.0,512.0,64.0,1,3,full_compute_plus_resource_monitor,0.777992051000183,48.2,48.2,0.82049560546875,1.0,6.814671516418457,0.3419075012207031,0.32904624938964844,0.32904624938964844,5.391191329792924
grid_sweep,2,timed,2048.0,512.0,64.0,1,3,full_compute_plus_resource_monitor,0.8420197929999631,34.2,34.2,1.5502853393554688,1.0,6.814671516418457,0.3419075012207031,0.32904624938964844,0.32904624938964844,4.981241575161148
grid_sweep,3,timed,2048.0,512.0,64.0,1,3,full_compute_plus_resource_monitor,0.8787728170000264,46.8,46.8,0.6538925170898438,1.0,6.814671516418457,0.3419075012207031,0.32904624938964844,0.32904624938964844,4.772910493884648
grid_sweep,1,timed,4096.0,1024.0,64.0,1,3,full_compute_plus_resource_monitor,2.856791709999925,50.6,77.1,7.013179779052734,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.872747369460982
grid_sweep,2,timed,4096.0,1024.0,64.0,1,3,full_compute_plus_resource_monitor,2.9185051229997043,49.375,77.6,7.434226989746094,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.748564862122293
grid_sweep,3,timed,4096.0,1024.0,64.0,1,3,full_compute_plus_resource_monitor,3.1909367079997537,51.18,76.9,7.165325164794922,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514,5.2577714744197594
grid_sweep,1,timed,8192.0,2048.0,64.0,1,3,full_compute_plus_resource_monitor,9.961181950000082,66.24,79.4,17.05434799194336,0.9999996721744537,6.814491986018773,0.3418819308280945,0.3290588706731796,0.3290588706731796,6.737038268837108
grid_sweep,2,timed,8192.0,2048.0,64.0,1,3,full_compute_plus_resource_monitor,10.125353777000328,65.95,80.7,19.018566131591797,0.9999996721744537,6.814491986018773,0.3418819308280945,0.3290588706731796,0.3290588706731796,6.627804368913739
grid_sweep,3,timed,8192.0,2048.0,64.0,1,3,full_compute_plus_resource_monitor,11.131926884000222,61.28666666666666,81.4,19.019245147705078,0.9999996721744537,6.814491986018773,0.3418819308280945,0.3290588706731796,0.3290588706731796,6.0285038429829
