h,log10_h,measured_abs_error,model_abs_error
1e-20,-20.0,0.8775825618903728,6711.957540458843
1.2589254117941713e-20,-19.9,0.8775825618903728,5331.497384656986
1.5848931924611108e-20,-19.8,0.8775825618903728,4234.958905991728
1.9952623149688828e-20,-19.7,0.8775825618903728,3363.9474319262727
2.511886431509572e-20,-19.6,0.8775825618903728,2672.078425307289
3.162277660168379e-20,-19.5,0.8775825618903728,2122.50733861917
3.9810717055349855e-20,-19.4,0.8775825618903728,1685.9675074746924
5.011872336272715e-20,-19.3,0.8775825618903728,1339.2115940148758
6.309573444801943e-20,-19.2,0.8775825618903728,1063.773581396124
7.94328234724279e-20,-19.1,0.8775825618903728,844.9853910567141
1e-19,-19.0,0.8775825618903728,671.1957540458843
1.2589254117941713e-19,-18.9,0.8775825618903728,533.1497384656985
1.584893192461111e-19,-18.8,0.8775825618903728,423.49589059917275
1.995262314968883e-19,-18.7,0.8775825618903728,336.39474319262723
2.5118864315095717e-19,-18.6,0.8775825618903728,267.20784253072895
3.162277660168379e-19,-18.5,0.8775825618903728,212.250733861917
3.9810717055349853e-19,-18.4,0.8775825618903728,168.59675074746926
5.011872336272715e-19,-18.3,0.8775825618903728,133.92115940148759
6.309573444801943e-19,-18.2,0.8775825618903728,106.3773581396124
7.943282347242789e-19,-18.1,0.8775825618903728,84.49853910567141
1e-18,-18.0,0.8775825618903728,67.11957540458842
1.2589254117941713e-18,-17.9,0.8775825618903728,53.314973846569856
1.5848931924611109e-18,-17.8,0.8775825618903728,42.34958905991728
1.995262314968883e-18,-17.7,0.8775825618903728,33.639474319262725
2.5118864315095718e-18,-17.6,0.8775825618903728,26.720784253072893
3.1622776601683795e-18,-17.5,0.8775825618903728,21.2250733861917
3.981071705534985e-18,-17.4,0.8775825618903728,16.859675074746928
5.011872336272715e-18,-17.3,0.8775825618903728,13.39211594014876
6.309573444801943e-18,-17.2,0.8775825618903728,10.63773581396124
7.94328234724279e-18,-17.1,0.8775825618903728,8.44985391056714
1e-17,-17.0,0.8775825618903728,6.711957540458842
1.2589254117941713e-17,-16.9,0.8775825618903728,5.331497384656985
1.584893192461111e-17,-16.8,0.8775825618903728,4.234958905991727
1.9952623149688827e-17,-16.7,0.8775825618903728,3.3639474319262725
2.5118864315095718e-17,-16.6,0.8775825618903728,2.6720784253072893
3.1622776601683796e-17,-16.5,0.8775825618903728,2.1225073386191697
3.9810717055349855e-17,-16.4,0.8775825618903728,1.6859675074746925
5.0118723362727144e-17,-16.3,0.8775825618903728,1.339211594014876
6.309573444801943e-17,-16.2,0.8820023519516222,1.0637735813961242
7.943282347242789e-17,-16.1,0.5201054165692229,0.8449853910567142
1e-16,-16.0,0.23264046273478378,0.6711957540458843
1.2589254117941714e-16,-15.899999999999999,0.004298933410377459,0.5331497384656985
1.5848931924611109e-16,-15.8,0.17707919049211462,0.4234958905991728
1.995262314968883e-16,-15.7,0.04293815225859632,0.3363947431926273
2.511886431509582e-16,-15.6,0.21460094136507313,0.2672078425307279
3.1622776601683793e-16,-15.5,0.00012580525380245788,0.21225073386191706
3.981071705534986e-16,-15.399999999999999,0.09848139113653398,0.16859675074746933
5.011872336272715e-16,-15.3,0.11925121112003245,0.13392115940148772
6.309573444801943e-16,-15.2,0.0022098950306246312,0.10637735813961256
7.943282347242821e-16,-15.1,0.03896977481461883,0.08449853910567127
1e-15,-15.0,0.010595857809752363,0.06711957540458866
1.2589254117941714e-15,-14.899999999999999,0.03979514135466011,0.05331497384657015
1.584893192461111e-15,-14.8,0.036978516212463064,0.042349589059917654
1.995262314968883e-15,-14.7,0.01270480838352206,0.0336394743192632
2.511886431509582e-15,-14.6,0.006392932143360119,0.026720784253073386
3.1622776601683794e-15,-14.5,0.01742836208908105,0.021225073386192454
3.981071705534985e-15,-14.399999999999999,0.0008749958338434283,0.01685967507474788
5.0118723362727146e-15,-14.3,0.002584027803461564,0.013392115940149963
6.309573444801943e-15,-14.2,0.0022098950306246312,0.010637735813962754
7.943282347242822e-15,-14.1,0.0029608645391688837,0.008449853910569011
1e-14,-14.0,0.0005063724364990918,0.00671195754046124
1.2589254117941714e-14,-13.899999999999999,0.004519881542630055,0.005331497384660003
1.584893192461111e-14,-13.8,0.0015491692144411484,0.0042349589059955265
1.9952623149688828e-14,-13.7,0.001576216255098406,0.0033639474319310555
2.5118864315095823e-14,-13.6,0.000236884061892928,0.0026720784253132994
3.1622776601683796e-14,-13.5,0.00012580525380245788,0.00212250733862675
3.981071705534986e-14,-13.399999999999999,0.0008749958338433173,0.0016859675074842356
5.0118723362727144e-14,-13.3,0.0014764347223388263,0.00133921159402689
6.309573444801943e-14,-13.2,0.00042948234013828746,0.0010637735814112489
7.943282347242822e-14,-13.1,0.0005333554069801849,0.0008449853910757518
1e-13,-13.0,4.8739075813486465e-05,0.0006711957540698555
1.2589254117941713e-13,-12.899999999999999,0.00011047406612629818,0.0005331497384958766
1.584893192461111e-13,-12.8,0.0001481624716446195,0.0004234958906371647
1.9952623149688827e-13,-12.7,9.307256416513088e-05,0.0003363947432404562
2.511886431509582e-13,-12.6,0.00020510368512394184,0.00026720784259094097
3.162277660168379e-13,-12.5,4.973641962635611e-05,0.00021225073393772083
3.9810717055349854e-13,-12.399999999999999,3.83695883917623e-05,0.00016859675084290063
5.011872336272715e-13,-12.3,3.656371687943416e-05,0.00013392115952162858
6.309573444801942e-13,-12.2,1.0413888322235998e-05,0.00010637735829086096
7.943282347242822e-13,-12.1,2.5719784403688273e-05,8.44985392960817e-05
1e-12,-12.0,6.7720754177713616e-06,6.71195756443012e-05
1.258925411794166e-12,-11.9,2.2285916592590382e-05,5.331497414835057e-05
1.5848931924611175e-12,-11.799999999999999,2.6963371208554854e-05,4.234958943983624e-05
1.9952623149688827e-12,-11.7,1.8213357119156726e-05,3.363947479755258e-05
2.5118864315095823e-12,-11.6,6.20919896632266e-06,2.6720784855204033e-05
3.1622776601683794e-12,-11.5,1.4628084940571107e-05,2.1225074144230036e-05
3.9810717055349695e-12,-11.4,3.461723877329348e-06,1.6859676029060716e-05
5.011872336272735e-12,-11.299999999999999,3.3359244492325857e-06,1.3392117141558502e-05
6.309573444801943e-12,-11.2,1.6159637530321902e-06,1.0637737326446565e-05
7.943282347242821e-12,-11.1,4.754464726808294e-06,8.449855814673318e-06
1e-11,-11.0,1.2209602946455789e-06,6.711959937586536e-06
1.2589254117941662e-11,-10.9,2.3887921007936797e-07,5.331500402461975e-06
1.5848931924611175e-11,-10.799999999999999,2.445753209623369e-06,4.2349627051830724e-06
1.9952623149688828e-11,-10.7,1.2616791056352383e-06,3.3639522148248225e-06
2.5118864315095823e-11,-10.6,1.7893214960817971e-06,2.6720844466198044e-06
3.1622776601683794e-11,-10.5,1.1706656679599803e-06,2.122514919002522e-06
3.9810717055349857e-11,-10.399999999999999,6.729697293872405e-07,1.6859770506119258e-06
5.011872336272735e-11,-10.299999999999999,1.1207382869526938e-06,1.3392236081128418e-06
6.309573444801942e-11,-10.2,1.4362116085298027e-07,1.06378870624936e-06
7.943282347242822e-11,-10.1,1.3744319782293957e-07,8.450044321187987e-07
1e-10,-10.0,1.1073727002042233e-07,6.712197253228145e-07
1.2589254117941713e-10,-9.899999999999999,2.3887921374310395e-07,5.331799165153791e-07
1.5848931924611173e-10,-9.799999999999999,6.008590403006053e-09,4.235338825127923e-07
1.9952623149688828e-10,-9.7,1.2939491045305118e-07,3.364425721781277e-07
2.511886431509582e-10,-9.6,2.137050814088326e-08,2.672680556559948e-07
3.1622776601683795e-10,-9.5,2.3366771950694698e-07,2.123265376954391e-07
3.9810717055349854e-10,-9.399999999999999,2.4218808514220314e-08,1.6869218211980165e-07
5.011872336272735e-10,-9.299999999999999,1.314520592377022e-08,1.3404130038119869e-07
6.309573444801942e-10,-9.2,3.233733059104793e-08,1.0652860667196926e-07
7.943282347242822e-10,-9.1,2.3256000458715675e-09,8.468894972655168e-08
1e-09,-9.0,5.52261187891645e-08,6.735928817389053e-08
1.2589254117941712e-09,-8.899999999999999,1.8408839785877262e-08,5.3616754343375825e-08
1.5848931924611173e-09,-8.799999999999999,6.008590403006053e-09,4.2729508196130004e-08
1.9952623149688828e-09,-8.7,9.712491144675539e-09,3.4117764174268035e-08
2.511886431509582e-09,-8.6,2.137050814088326e-08,2.7322915505742318e-08
3.1622776601683795e-09,-8.5,5.463543950590122e-09,2.198311172141283e-08
3.9810717055349855e-09,-8.399999999999999,3.668732984074552e-09,1.7813988798070955e-08
5.011872336272735e-09,-8.299999999999999,2.0692751956374877e-09,1.4593525737265235e-08
6.309573444801943e-09,-8.2,2.8543677421666303e-09,1.2150221137529716e-08
7.943282347242822e-09,-8.1,2.3256000458715675e-09,1.0353960119373182e-08
1e-08,-8.0,2.850324420933248e-10,9.109085233479857e-09
1.2589254117941714e-08,-7.899999999999999,5.1806174905522084e-09,8.349302352716678e-09
1.5848931924611173e-08,-7.799999999999999,4.498960204379898e-09,8.034150268120741e-09
1.995262314968883e-08,-7.699999999999999,6.93034318821617e-09,8.146845981979401e-09
2.511886431509582e-08,-7.6,5.148756643258423e-09,8.693390952002633e-09
3.162277660168379e-08,-7.5,7.218960651478312e-09,9.70289069083049e-09
3.9810717055349855e-08,-7.399999999999999,9.246241328142446e-09,1.122910474071501e-08
5.011872336272735e-08,-7.299999999999999,1.2037612795445796e-08,1.3353309565180176e-08
6.309573444801943e-08,-7.199999999999999,1.6051254658755454e-08,1.6188626817080866e-08
7.943282347242822e-08,-7.1,1.933856363933728e-08,1.988604747911745e-08
1e-07,-7.0,2.4694985611972697e-08,2.4642472684256033e-08
1.2589254117941715e-07,-6.899999999999999,3.031424011812334e-08,3.071119941906263e-08
1.5848931924611173e-07,-6.799999999999999,3.812312199258372e-08,3.841540951188947e-08
1.995262314968883e-07,-6.699999999999999,4.75497045071549e-08,4.816538024372391e-08
2.5118864315095823e-07,-6.6,6.039722511008705e-08,6.048033310948428e-08
3.162277660168379e-07,-6.5,7.585575501067865e-08,7.601608425597511e-08
3.9810717055349856e-07,-6.399999999999999,9.541874457230648e-08,9.559996908315065e-08
5.011872336272736e-07,-6.299999999999999,1.2013869765681306e-07,1.2027490087105455e-07
6.309573444801942e-07,-6.199999999999999,1.5127535513137502e-07,1.51354909714987e-07
7.943282347242822e-07,-6.1,1.9041557219878769e-07,1.9049511941971308e-07
1e-06,-6.0,2.3968967433063426e-07,2.397798888775061e-07
1.2589254117941714e-06,-5.899999999999999,3.0175736431825584e-07,3.018338117798159e-07
1.5848931924611175e-06,-5.799999999999999,3.7993374213396436e-07,3.799614858019629e-07
1.995262314968883e-06,-5.699999999999999,4.78309684304179e-07,4.78323494479632e-07
2.5118864315095823e-06,-5.6,6.0211950725364e-07,6.021579734537885e-07
3.162277660168379e-06,-5.5,7.580458062372841e-07,7.580595602945183e-07
3.981071705534985e-06,-5.399999999999999,9.543271356493577e-07,9.543305829991064e-07
5.011872336272735e-06,-5.299999999999999,1.201415367080294e-06,1.2014231892324707e-06
6.309573444801943e-06,-5.199999999999999,1.5124902446039812e-06,1.5124959613042879e-06
7.943282347242822e-06,-5.1,1.9041208025871725e-06,1.9041146586599843e-06
1e-05,-5.0,2.3971472203898614e-06,2.3971344049785557e-06
1.2589254117941714e-05,-4.899999999999999,3.0178289064375363e-06,3.017810299557078e-06
1.5848931924611175e-05,-4.799999999999999,3.7992272962084073e-06,3.799195597087936e-06
1.995262314968883e-05,-4.699999999999999,4.78295762340597e-06,4.78290191400056e-06
2.5118864315095822e-05,-4.6,6.0214042013617686e-06,6.02131519877378e-06
3.1622776601683795e-05,-4.5,7.580529117423573e-06,7.58038547471866e-06
3.981071705534986e-05,-4.399999999999999,9.543367821218673e-06,9.543138919207826e-06
5.011872336272735e-05,-4.299999999999999,1.2014465606058344e-05,1.20140993103769e-05
6.309573444801943e-05,-4.199999999999999,1.5125434470464327e-05,1.5124854299458321e-05
7.943282347242822e-05,-4.1,1.90419844643408e-05,1.904106293304613e-05
0.0001,-4.0,2.3972739644051444e-05,2.3971277601405907e-05
0.00012589254117941712,-3.8999999999999986,3.0180367617482773e-05,3.017805021374667e-05
0.0001584893192461111,-3.8000000000000007,3.799558759298716e-05,3.799191404478603e-05
0.00019952623149688828,-3.6999999999999993,4.783480822867503e-05,4.7828985836926026e-05
0.00025118864315095926,-3.599999999999998,6.022235344493865e-05,6.021312553416163e-05
0.00031622776601683794,-3.5,7.581845939319543e-05,7.580383373436394e-05
0.00039810717055349854,-3.3999999999999986,9.545455214987619e-05,9.543137250099992e-05
0.0005011872336272714,-3.3000000000000007,0.00012017771708294767,0.00012014097984557372
0.0006309573444801943,-3.1999999999999993,0.00015130675606678246,0.00015124853246322476
0.0007943282347242854,-3.099999999999998,0.000190502897106537,0.00019041062096510672
0.001,-3.0,0.00023985901305767499,0.00023971276936922108
0.0012589254117941714,-2.8999999999999986,0.00030201226937254244,0.0003017804968592843
0.0015848931924611108,-2.8000000000000007,0.00038028645460008725,0.000379919136255251
0.001995262314968883,-2.6999999999999993,0.00047887198271268083,0.0004782898550389523
0.0025118864315095924,-2.599999999999998,0.0006030537977278483,0.0006021312526962588
0.0031622776601683794,-2.5,0.0007595003403844114,0.0007580383352423571
0.0039810717055349856,-2.3999999999999986,0.0009566305854684654,0.0009543137233408915
0.005011872336272715,-2.3000000000000007,0.0012050812572055314,0.001201409797129918
0.006309573444801942,-2.1999999999999993,0.0015183031593946072,0.0015124853235791117
0.007943282347242854,-2.099999999999998,0.0019133247873462933,0.0019041062088145314
0.01,-2.0,0.002411734019925449,0.002397127693027727
0.012589254117941713,-1.8999999999999986,0.0030409461708816865,0.003017804968065025
0.01584893192461111,-1.8000000000000007,0.003835851170717608,0.0037991913621332495
0.01995262314968883,-1.6999999999999993,0.0048409673693659006,0.004782898550056492
0.025118864315095923,-1.5999999999999979,0.006113279216485634,0.0060213125266980515
0.03162277660168379,-1.5,0.0077260081219568955,0.007580383352213443
0.03981071705534985,-1.3999999999999986,0.009773670964212333,0.009543137233242002
0.050118723362727144,-1.3000000000000007,0.012378935158868343,0.012014097971166596
0.06309573444801943,-1.1999999999999993,0.015702006763569032,0.015124853235685803
0.07943282347242854,-1.0999999999999979,0.019953623283672006,0.019041062088061663
0.1,-1.0,0.0254132139820491,0.02397127693021082
0.12589254117941714,-0.8999999999999986,0.032454501326883545,0.03017804968059747
0.1584893192461124,-0.7999999999999972,0.041581822033290305,0.03799191362129088
0.19952623149688828,-0.6999999999999993,0.05348180593554075,0.047828985500531614
0.25118864315095923,-0.5999999999999979,0.06909673985973108,0.06021312526695406
0.31622776601683794,-0.5,0.08972765484878953,0.07580383352211341
0.39810717055349853,-0.3999999999999986,0.11717584427185146,0.09543137233240334
0.5011872336272756,-0.29999999999999716,0.15392821926485278,0.1201409797116537
0.6309573444801942,-0.19999999999999932,0.20337740302333185,0.15124853235684751
0.7943282347242854,-0.09999999999999788,0.2700252008263935,0.19041062088060823
1.0,0.0,0.3595131138905213,0.23971276930210156
