T_K,C_V_J_per_K
5.000000,3.103531092018e-01
6.000000,5.356004251346e-01
7.000000,8.503698967749e-01
8.000000,1.269330283634e+00
9.000000,1.807303662790e+00
10.000000,2.479153829950e+00
11.000000,3.299753639658e+00
12.000000,4.283977662154e+00
13.000000,5.446700762574e+00
14.000000,6.802797844918e+00
15.000000,8.367143767639e+00
16.000000,1.015461314915e+01
17.000000,1.218007973082e+01
18.000000,1.445841460902e+01
19.000000,1.700448206127e+01
20.000000,1.983313095503e+01
21.000000,2.295917900352e+01
22.000000,2.639738663493e+01
23.000000,3.016241716363e+01
24.000000,3.426878040049e+01
25.000000,3.873075780150e+01
26.000000,4.356230860520e+01
27.000000,4.877695795510e+01
28.000000,5.438766952773e+01
29.000000,6.040670649967e+01
30.000000,6.684548565153e+01
31.000000,7.371442995127e+01
32.000000,8.102282507715e+01
33.000000,8.877868507056e+01
34.000000,9.698863172748e+01
35.000000,1.056577915326e+02
36.000000,1.147897130065e+02
37.000000,1.243863063547e+02
38.000000,1.344478063542e+02
39.000000,1.449727585316e+02
40.000000,1.559580279255e+02
41.000000,1.673988290930e+02
42.000000,1.792887755311e+02
43.000000,1.916199463359e+02
44.000000,2.043829676967e+02
45.000000,2.175671067187e+02
46.000000,2.311603750545e+02
47.000000,2.451496398949e+02
48.000000,2.595207399987e+02
49.000000,2.742586046142e+02
50.000000,2.893473733521e+02
51.000000,3.047705152911e+02
52.000000,3.205109458263e+02
53.000000,3.365511400012e+02
54.000000,3.528732412836e+02
55.000000,3.694591649555e+02
56.000000,3.862906954798e+02
57.000000,4.033495773828e+02
58.000000,4.206175993472e+02
59.000000,4.380766713497e+02
60.000000,4.557088947929e+02
61.000000,4.734966256870e+02
62.000000,4.914225310157e+02
63.000000,5.094696384938e+02
64.000000,5.276213799746e+02
65.000000,5.458616288103e+02
66.000000,5.641747314974e+02
67.000000,5.825455339598e+02
68.000000,6.009594028373e+02
69.000000,6.194022421498e+02
70.000000,6.378605057093e+02
71.000000,6.563212056460e+02
72.000000,6.747719174041e+02
73.000000,6.932007815547e+02
74.000000,7.115965027525e+02
75.000000,7.299483461536e+02
76.000000,7.482461315872e+02
77.000000,7.664802257617e+02
78.000000,7.846415327629e+02
79.000000,8.027214830850e+02
80.000000,8.207120214166e+02
81.000000,8.386055933853e+02
82.000000,8.563951314470e+02
83.000000,8.740740400897e+02
84.000000,8.916361805050e+02
85.000000,9.090758548655e+02
86.000000,9.263877903323e+02
87.000000,9.435671229027e+02
88.000000,9.606093811966e+02
89.000000,9.775104702676e+02
90.000000,9.942666555156e+02
91.000000,1.010874546766e+03
92.000000,1.027331082572e+03
93.000000,1.043633514791e+03
94.000000,1.059779393474e+03
95.000000,1.075766552102e+03
96.000000,1.091593093205e+03
97.000000,1.107257374372e+03
98.000000,1.122757994687e+03
99.000000,1.138093781591e+03
100.000000,1.153263778187e+03
101.000000,1.168267230996e+03
102.000000,1.183103578154e+03
103.000000,1.197772438071e+03
104.000000,1.212273598532e+03
105.000000,1.226607006248e+03
106.000000,1.240772756841e+03
107.000000,1.254771085267e+03
108.000000,1.268602356667e+03
109.000000,1.282267057621e+03
110.000000,1.295765787819e+03
111.000000,1.309099252125e+03
112.000000,1.322268253015e+03
113.000000,1.335273683398e+03
114.000000,1.348116519790e+03
115.000000,1.360797815834e+03
116.000000,1.373318696159e+03
117.000000,1.385680350558e+03
118.000000,1.397884028476e+03
119.000000,1.409931033798e+03
120.000000,1.421822719920e+03
121.000000,1.433560485095e+03
122.000000,1.445145768041e+03
123.000000,1.456580043797e+03
124.000000,1.467864819824e+03
125.000000,1.479001632328e+03
126.000000,1.489992042805e+03
127.000000,1.500837634792e+03
128.000000,1.511540010817e+03
129.000000,1.522100789535e+03
130.000000,1.532521603047e+03
131.000000,1.542804094382e+03
132.000000,1.552949915151e+03
133.000000,1.562960723344e+03
134.000000,1.572838181276e+03
135.000000,1.582583953675e+03
136.000000,1.592199705894e+03
137.000000,1.601687102250e+03
138.000000,1.611047804483e+03
139.000000,1.620283470317e+03
140.000000,1.629395752132e+03
141.000000,1.638386295737e+03
142.000000,1.647256739231e+03
143.000000,1.656008711950e+03
144.000000,1.664643833510e+03
145.000000,1.673163712908e+03
146.000000,1.681569947718e+03
147.000000,1.689864123342e+03
148.000000,1.698047812329e+03
149.000000,1.706122573764e+03
150.000000,1.714089952702e+03
151.000000,1.721951479666e+03
152.000000,1.729708670193e+03
153.000000,1.737363024427e+03
154.000000,1.744916026757e+03
155.000000,1.752369145499e+03
156.000000,1.759723832619e+03
157.000000,1.766981523484e+03
158.000000,1.774143636661e+03
159.000000,1.781211573737e+03
160.000000,1.788186719174e+03
161.000000,1.795070440194e+03
162.000000,1.801864086687e+03
163.000000,1.808568991143e+03
164.000000,1.815186468610e+03
165.000000,1.821717816672e+03
166.000000,1.828164315446e+03
167.000000,1.834527227596e+03
168.000000,1.840807798369e+03
169.000000,1.847007255638e+03
170.000000,1.853126809971e+03
171.000000,1.859167654703e+03
172.000000,1.865130966025e+03
173.000000,1.871017903085e+03
174.000000,1.876829608097e+03
175.000000,1.882567206462e+03
176.000000,1.888231806896e+03
177.000000,1.893824501565e+03
178.000000,1.899346366230e+03
179.000000,1.904798460398e+03
180.000000,1.910181827476e+03
181.000000,1.915497494934e+03
182.000000,1.920746474468e+03
183.000000,1.925929762176e+03
184.000000,1.931048338725e+03
185.000000,1.936103169535e+03
186.000000,1.941095204953e+03
187.000000,1.946025380441e+03
188.000000,1.950894616754e+03
189.000000,1.955703820135e+03
190.000000,1.960453882493e+03
191.000000,1.965145681598e+03
192.000000,1.969780081271e+03
193.000000,1.974357931570e+03
194.000000,1.978880068980e+03
195.000000,1.983347316609e+03
196.000000,1.987760484374e+03
197.000000,1.992120369188e+03
198.000000,1.996427755159e+03
199.000000,2.000683413766e+03
200.000000,2.004888104058e+03
201.000000,2.009042572833e+03
202.000000,2.013147554829e+03
203.000000,2.017203772905e+03
204.000000,2.021211938225e+03
205.000000,2.025172750439e+03
206.000000,2.029086897868e+03
207.000000,2.032955057673e+03
208.000000,2.036777896043e+03
209.000000,2.040556068360e+03
210.000000,2.044290219380e+03
211.000000,2.047980983399e+03
212.000000,2.051628984426e+03
213.000000,2.055234836348e+03
214.000000,2.058799143099e+03
215.000000,2.062322498819e+03
216.000000,2.065805488018e+03
217.000000,2.069248685738e+03
218.000000,2.072652657703e+03
219.000000,2.076017960484e+03
220.000000,2.079345141642e+03
221.000000,2.082634739886e+03
222.000000,2.085887285221e+03
223.000000,2.089103299090e+03
224.000000,2.092283294526e+03
225.000000,2.095427776287e+03
226.000000,2.098537241000e+03
227.000000,2.101612177302e+03
228.000000,2.104653065970e+03
229.000000,2.107660380059e+03
230.000000,2.110634585032e+03
231.000000,2.113576138892e+03
232.000000,2.116485492308e+03
233.000000,2.119363088741e+03
234.000000,2.122209364568e+03
235.000000,2.125024749203e+03
236.000000,2.127809665219e+03
237.000000,2.130564528462e+03
238.000000,2.133289748169e+03
239.000000,2.135985727083e+03
240.000000,2.138652861561e+03
241.000000,2.141291541689e+03
242.000000,2.143902151385e+03
243.000000,2.146485068511e+03
244.000000,2.149040664973e+03
245.000000,2.151569306824e+03
246.000000,2.154071354368e+03
247.000000,2.156547162256e+03
248.000000,2.158997079586e+03
249.000000,2.161421449996e+03
250.000000,2.163820611761e+03
251.000000,2.166194897884e+03
252.000000,2.168544636186e+03
253.000000,2.170870149397e+03
254.000000,2.173171755242e+03
255.000000,2.175449766529e+03
256.000000,2.177704491231e+03
257.000000,2.179936232571e+03
258.000000,2.182145289104e+03
259.000000,2.184331954795e+03
260.000000,2.186496519099e+03
261.000000,2.188639267039e+03
262.000000,2.190760479280e+03
263.000000,2.192860432206e+03
264.000000,2.194939397989e+03
265.000000,2.196997644667e+03
266.000000,2.199035436208e+03
267.000000,2.201053032585e+03
268.000000,2.203050689842e+03
269.000000,2.205028660156e+03
270.000000,2.206987191913e+03
271.000000,2.208926529762e+03
272.000000,2.210846914684e+03
273.000000,2.212748584053e+03
274.000000,2.214631771698e+03
275.000000,2.216496707960e+03
276.000000,2.218343619753e+03
277.000000,2.220172730621e+03
278.000000,2.221984260796e+03
279.000000,2.223778427251e+03
280.000000,2.225555443758e+03
281.000000,2.227315520939e+03
282.000000,2.229058866321e+03
283.000000,2.230785684383e+03
284.000000,2.232496176614e+03
285.000000,2.234190541558e+03
286.000000,2.235868974863e+03
287.000000,2.237531669331e+03
288.000000,2.239178814964e+03
289.000000,2.240810599012e+03
290.000000,2.242427206016e+03
291.000000,2.244028817855e+03
292.000000,2.245615613787e+03
293.000000,2.247187770498e+03
294.000000,2.248745462136e+03
295.000000,2.250288860361e+03
296.000000,2.251818134378e+03
297.000000,2.253333450985e+03
298.000000,2.254834974604e+03
299.000000,2.256322867328e+03
300.000000,2.257797288953e+03
301.000000,2.259258397017e+03
302.000000,2.260706346837e+03
303.000000,2.262141291546e+03
304.000000,2.263563382127e+03
305.000000,2.264972767447e+03
306.000000,2.266369594292e+03
307.000000,2.267754007402e+03
308.000000,2.269126149501e+03
309.000000,2.270486161330e+03
310.000000,2.271834181683e+03
311.000000,2.273170347429e+03
312.000000,2.274494793553e+03
313.000000,2.275807653179e+03
314.000000,2.277109057603e+03
315.000000,2.278399136318e+03
316.000000,2.279678017049e+03
317.000000,2.280945825775e+03
318.000000,2.282202686759e+03
319.000000,2.283448722576e+03
320.000000,2.284684054137e+03
321.000000,2.285908800717e+03
322.000000,2.287123079980e+03
323.000000,2.288327008006e+03
324.000000,2.289520699310e+03
325.000000,2.290704266875e+03
326.000000,2.291877822167e+03
327.000000,2.293041475167e+03
328.000000,2.294195334386e+03
329.000000,2.295339506894e+03
330.000000,2.296474098338e+03
331.000000,2.297599212967e+03
332.000000,2.298714953651e+03
333.000000,2.299821421904e+03
334.000000,2.300918717904e+03
335.000000,2.302006940512e+03
336.000000,2.303086187297e+03
337.000000,2.304156554549e+03
338.000000,2.305218137302e+03
339.000000,2.306271029355e+03
340.000000,2.307315323287e+03
341.000000,2.308351110476e+03
342.000000,2.309378481119e+03
343.000000,2.310397524249e+03
344.000000,2.311408327752e+03
345.000000,2.312410978384e+03
346.000000,2.313405561790e+03
347.000000,2.314392162517e+03
348.000000,2.315370864033e+03
349.000000,2.316341748743e+03
350.000000,2.317304898004e+03
351.000000,2.318260392141e+03
352.000000,2.319208310461e+03
353.000000,2.320148731270e+03
354.000000,2.321081731887e+03
355.000000,2.322007388658e+03
356.000000,2.322925776970e+03
357.000000,2.323836971266e+03
358.000000,2.324741045060e+03
359.000000,2.325638070948e+03
360.000000,2.326528120621e+03
361.000000,2.327411264881e+03
362.000000,2.328287573654e+03
363.000000,2.329157115999e+03
364.000000,2.330019960123e+03
365.000000,2.330876173393e+03
366.000000,2.331725822350e+03
367.000000,2.332568972717e+03
368.000000,2.333405689413e+03
369.000000,2.334236036565e+03
370.000000,2.335060077518e+03
371.000000,2.335877874848e+03
372.000000,2.336689490369e+03
373.000000,2.337494985149e+03
374.000000,2.338294419517e+03
375.000000,2.339087853075e+03
376.000000,2.339875344708e+03
377.000000,2.340656952593e+03
378.000000,2.341432734211e+03
379.000000,2.342202746354e+03
380.000000,2.342967045139e+03
381.000000,2.343725686012e+03
382.000000,2.344478723762e+03
383.000000,2.345226212527e+03
384.000000,2.345968205806e+03
385.000000,2.346704756466e+03
386.000000,2.347435916748e+03
387.000000,2.348161738282e+03
388.000000,2.348882272092e+03
389.000000,2.349597568602e+03
390.000000,2.350307677649e+03
391.000000,2.351012648488e+03
392.000000,2.351712529799e+03
393.000000,2.352407369700e+03
394.000000,2.353097215749e+03
395.000000,2.353782114953e+03
396.000000,2.354462113778e+03
397.000000,2.355137258155e+03
398.000000,2.355807593486e+03
399.000000,2.356473164652e+03
400.000000,2.357134016021e+03
401.000000,2.357790191452e+03
402.000000,2.358441734307e+03
403.000000,2.359088687451e+03
404.000000,2.359731093265e+03
405.000000,2.360368993649e+03
406.000000,2.361002430028e+03
407.000000,2.361631443360e+03
408.000000,2.362256074142e+03
409.000000,2.362876362415e+03
410.000000,2.363492347770e+03
411.000000,2.364104069358e+03
412.000000,2.364711565889e+03
413.000000,2.365314875641e+03
414.000000,2.365914036470e+03
415.000000,2.366509085807e+03
416.000000,2.367100060671e+03
417.000000,2.367686997669e+03
418.000000,2.368269933006e+03
419.000000,2.368848902487e+03
420.000000,2.369423941524e+03
421.000000,2.369995085138e+03
422.000000,2.370562367970e+03
423.000000,2.371125824278e+03
424.000000,2.371685487951e+03
425.000000,2.372241392504e+03
426.000000,2.372793571091e+03
427.000000,2.373342056507e+03
428.000000,2.373886881188e+03
429.000000,2.374428077224e+03
430.000000,2.374965676356e+03
431.000000,2.375499709986e+03
432.000000,2.376030209175e+03
433.000000,2.376557204654e+03
434.000000,2.377080726825e+03
435.000000,2.377600805764e+03
436.000000,2.378117471227e+03
437.000000,2.378630752654e+03
438.000000,2.379140679173e+03
439.000000,2.379647279601e+03
440.000000,2.380150582453e+03
441.000000,2.380650615941e+03
442.000000,2.381147407980e+03
443.000000,2.381640986194e+03
444.000000,2.382131377913e+03
445.000000,2.382618610185e+03
446.000000,2.383102709771e+03
447.000000,2.383583703156e+03
448.000000,2.384061616549e+03
449.000000,2.384536475884e+03
450.000000,2.385008306829e+03
451.000000,2.385477134784e+03
452.000000,2.385942984888e+03
453.000000,2.386405882020e+03
454.000000,2.386865850803e+03
455.000000,2.387322915606e+03
456.000000,2.387777100550e+03
457.000000,2.388228429507e+03
458.000000,2.388676926107e+03
459.000000,2.389122613738e+03
460.000000,2.389565515550e+03
461.000000,2.390005654457e+03
462.000000,2.390443053143e+03
463.000000,2.390877734058e+03
464.000000,2.391309719431e+03
465.000000,2.391739031262e+03
466.000000,2.392165691332e+03
467.000000,2.392589721202e+03
468.000000,2.393011142217e+03
469.000000,2.393429975510e+03
470.000000,2.393846242000e+03
471.000000,2.394259962399e+03
472.000000,2.394671157213e+03
473.000000,2.395079846744e+03
474.000000,2.395486051092e+03
475.000000,2.395889790159e+03
476.000000,2.396291083650e+03
477.000000,2.396689951075e+03
478.000000,2.397086411752e+03
479.000000,2.397480484811e+03
480.000000,2.397872189191e+03
481.000000,2.398261543650e+03
482.000000,2.398648566757e+03
483.000000,2.399033276906e+03
484.000000,2.399415692307e+03
485.000000,2.399795830995e+03
486.000000,2.400173710830e+03
487.000000,2.400549349500e+03
488.000000,2.400922764519e+03
489.000000,2.401293973235e+03
490.000000,2.401662992827e+03
491.000000,2.402029840310e+03
492.000000,2.402394532535e+03
493.000000,2.402757086193e+03
494.000000,2.403117517812e+03
495.000000,2.403475843765e+03
496.000000,2.403832080268e+03
497.000000,2.404186243384e+03
498.000000,2.404538349022e+03
499.000000,2.404888412941e+03
500.000000,2.405236450749e+03
