sweep,system_E,demon_E,magnetization,M2,acceptance
2923,-24.0,4.0,0,0,0.76
2924,-24.0,4.0,30,900,0.77
2925,-20.0,0.0,-2,4,0.8
2926,-20.0,0.0,18,324,0.78
2927,-20.0,0.0,0,0,0.81
2928,-20.0,0.0,4,16,0.78
2929,-20.0,0.0,-4,16,0.9
2930,-20.0,0.0,18,324,0.75
2931,-20.0,0.0,-2,4,0.86
2932,-24.0,4.0,12,144,0.79
2933,-24.0,4.0,14,196,0.81
2934,-24.0,4.0,-6,36,0.78
2935,-20.0,0.0,2,4,0.84
2936,-24.0,4.0,14,196,0.74
2937,-20.0,0.0,6,36,0.68
2938,-28.0,8.0,2,4,0.86
2939,-20.0,0.0,-26,676,0.8
2940,-24.0,4.0,-22,484,0.76
2941,-24.0,4.0,8,64,0.75
2942,-20.0,0.0,2,4,0.79
2943,-20.0,0.0,0,0,0.81
2944,-24.0,4.0,6,36,0.79
2945,-28.0,8.0,8,64,0.71
2946,-20.0,0.0,-10,100,0.77
2947,-28.0,8.0,-22,484,0.78
2948,-20.0,0.0,-14,196,0.84
2949,-20.0,0.0,0,0,0.73
2950,-20.0,0.0,-6,36,0.73
2951,-24.0,4.0,-24,576,0.77
2952,-24.0,4.0,-12,144,0.86
2953,-24.0,4.0,-10,100,0.75
2954,-20.0,0.0,10,100,0.84
2955,-20.0,0.0,10,100,0.84
2956,-20.0,0.0,-8,64,0.77
2957,-20.0,0.0,-26,676,0.73
2958,-20.0,0.0,0,0,0.77
2959,-20.0,0.0,2,4,0.73
2960,-20.0,0.0,2,4,0.72
2961,-28.0,8.0,18,324,0.82
2962,-36.0,16.0,-2,4,0.78
2963,-20.0,0.0,-6,36,0.8
2964,-20.0,0.0,16,256,0.69
2965,-28.0,8.0,18,324,0.71
2966,-20.0,0.0,-12,144,0.71
2967,-20.0,0.0,12,144,0.72
2968,-20.0,0.0,2,4,0.75
2969,-20.0,0.0,-18,324,0.76
2970,-20.0,0.0,-14,196,0.76
2971,-20.0,0.0,4,16,0.71
2972,-20.0,0.0,2,4,0.75
2973,-20.0,0.0,-2,4,0.68
2974,-20.0,0.0,2,4,0.82
2975,-24.0,4.0,-4,16,0.79
2976,-24.0,4.0,-18,324,0.83
2977,-20.0,0.0,-4,16,0.79
2978,-20.0,0.0,0,0,0.68
2979,-20.0,0.0,0,0,0.94
2980,-20.0,0.0,12,144,0.76
2981,-20.0,0.0,-10,100,0.77
2982,-20.0,0.0,-14,196,0.78
2983,-20.0,0.0,4,16,0.85
2984,-28.0,8.0,-14,196,0.81
2985,-20.0,0.0,-12,144,0.73
2986,-20.0,0.0,-8,64,0.82
2987,-20.0,0.0,4,16,0.86
2988,-20.0,0.0,8,64,0.86
2989,-28.0,8.0,-6,36,0.83
2990,-28.0,8.0,0,0,0.95
2991,-20.0,0.0,0,0,0.8
2992,-20.0,0.0,-6,36,0.75
2993,-20.0,0.0,-2,4,0.66
2994,-24.0,4.0,34,1156,0.82
2995,-20.0,0.0,2,4,0.88
2996,-20.0,0.0,-10,100,0.78
2997,-20.0,0.0,-6,36,0.74
2998,-20.0,0.0,-12,144,0.79
2999,-20.0,0.0,0,0,0.64
3000,-20.0,0.0,0,0,0.8
3001,-20.0,0.0,20,400,0.74
3002,-20.0,0.0,0,0,0.76
3003,-24.0,4.0,-14,196,0.79
3004,-20.0,0.0,-22,484,0.78
3005,-24.0,4.0,-14,196,0.78
3006,-24.0,4.0,-4,16,0.89
3007,-20.0,0.0,8,64,0.82
3008,-20.0,0.0,4,16,0.68
3009,-20.0,0.0,2,4,0.73
3010,-20.0,0.0,8,64,0.75
3011,-24.0,4.0,22,484,0.79
3012,-20.0,0.0,-6,36,0.88
3013,-20.0,0.0,-10,100,0.78
3014,-20.0,0.0,-10,100,0.62
3015,-20.0,0.0,-4,16,0.77
3016,-20.0,0.0,-6,36,0.73
3017,-20.0,0.0,-26,676,0.7
3018,-24.0,4.0,-12,144,0.81
3019,-20.0,0.0,8,64,0.8
3020,-28.0,8.0,0,0,0.8
3021,-20.0,0.0,12,144,0.7
3022,-20.0,0.0,-10,100,0.73
3023,-28.0,8.0,-10,100,0.72
3024,-20.0,0.0,16,256,0.71
3025,-24.0,4.0,-14,196,0.85
3026,-20.0,0.0,-4,16,0.89
3027,-20.0,0.0,16,256,0.82
3028,-20.0,0.0,16,256,0.84
3029,-20.0,0.0,0,0,0.74
3030,-20.0,0.0,-4,16,0.8
3031,-20.0,0.0,2,4,0.79
3032,-36.0,16.0,-18,324,0.78
3033,-24.0,4.0,4,16,0.85
3034,-24.0,4.0,-2,4,0.73
3035,-28.0,8.0,2,4,0.68
3036,-24.0,4.0,8,64,0.79
3037,-24.0,4.0,-14,196,0.71
3038,-20.0,0.0,20,400,0.69
3039,-24.0,4.0,4,16,0.84
3040,-24.0,4.0,-8,64,0.82
3041,-20.0,0.0,12,144,0.82
3042,-24.0,4.0,-4,16,0.78
3043,-20.0,0.0,2,4,0.81
3044,-24.0,4.0,-12,144,0.89
3045,-20.0,0.0,-20,400,0.86
3046,-20.0,0.0,-8,64,0.84
3047,-20.0,0.0,2,4,0.69
3048,-20.0,0.0,-10,100,0.7
3049,-20.0,0.0,-12,144,0.91
3050,-20.0,0.0,8,64,0.72
3051,-20.0,0.0,-10,100,0.81
3052,-20.0,0.0,-8,64,0.75
3053,-24.0,4.0,10,100,0.81
3054,-24.0,4.0,24,576,0.85
3055,-20.0,0.0,26,676,0.79
3056,-20.0,0.0,18,324,0.76
3057,-20.0,0.0,24,576,0.77
3058,-20.0,0.0,16,256,0.7
3059,-28.0,8.0,8,64,0.78
3060,-20.0,0.0,14,196,0.69
3061,-20.0,0.0,-8,64,0.79
3062,-20.0,0.0,-8,64,0.7
3063,-24.0,4.0,-14,196,0.85
3064,-20.0,0.0,-22,484,0.84
3065,-24.0,4.0,4,16,0.81
3066,-20.0,0.0,-10,100,0.75
3067,-20.0,0.0,-6,36,0.8
3068,-24.0,4.0,-4,16,0.75
3069,-20.0,0.0,-12,144,0.78
3070,-20.0,0.0,-12,144,0.78
3071,-24.0,4.0,-26,676,0.75
3072,-20.0,0.0,-18,324,0.7
3073,-32.0,12.0,30,900,0.76
3074,-20.0,0.0,12,144,0.85
3075,-20.0,0.0,-8,64,0.84
3076,-20.0,0.0,-10,100,0.85
3077,-24.0,4.0,2,4,0.72
3078,-20.0,0.0,-18,324,0.82
3079,-20.0,0.0,0,0,0.73
3080,-20.0,0.0,-10,100,0.71
3081,-24.0,4.0,26,676,0.82
3082,-24.0,4.0,14,196,0.84
3083,-20.0,0.0,10,100,0.8
3084,-20.0,0.0,20,400,0.75
3085,-24.0,4.0,2,4,0.83
3086,-20.0,0.0,-22,484,0.84
3087,-20.0,0.0,18,324,0.94
3088,-20.0,0.0,14,196,0.72
3089,-20.0,0.0,-2,4,0.78
3090,-32.0,12.0,10,100,0.84
3091,-24.0,4.0,-4,16,0.75
3092,-24.0,4.0,6,36,0.79
3093,-24.0,4.0,-12,144,0.79
3094,-24.0,4.0,-8,64,0.8
3095,-20.0,0.0,0,0,0.68
3096,-24.0,4.0,14,196,0.85
3097,-20.0,0.0,2,4,0.8
3098,-20.0,0.0,8,64,0.87
3099,-20.0,0.0,-12,144,0.82
3100,-24.0,4.0,14,196,0.75
3101,-24.0,4.0,6,36,0.8
3102,-32.0,12.0,16,256,0.85
3103,-20.0,0.0,-14,196,0.71
3104,-24.0,4.0,2,4,0.76
3105,-20.0,0.0,20,400,0.79
3106,-24.0,4.0,18,324,0.79
3107,-20.0,0.0,4,16,0.73
3108,-28.0,8.0,-8,64,0.74
3109,-20.0,0.0,-16,256,0.78
3110,-20.0,0.0,-16,256,0.86
3111,-24.0,4.0,-6,36,0.85
3112,-20.0,0.0,6,36,0.86
3113,-20.0,0.0,-16,256,0.71
3114,-20.0,0.0,-14,196,0.79
3115,-20.0,0.0,10,100,0.82
3116,-20.0,0.0,16,256,0.75
3117,-20.0,0.0,2,4,0.97
3118,-20.0,0.0,6,36,0.8
3119,-24.0,4.0,0,0,0.83
3120,-20.0,0.0,-16,256,0.72
3121,-20.0,0.0,-8,64,0.8
3122,-20.0,0.0,2,4,0.73
3123,-20.0,0.0,10,100,0.84
3124,-20.0,0.0,4,16,0.85
3125,-20.0,0.0,-14,196,0.73
3126,-28.0,8.0,-2,4,0.8
3127,-28.0,8.0,10,100,0.66
3128,-20.0,0.0,12,144,0.85
3129,-24.0,4.0,0,0,0.82
3130,-20.0,0.0,-16,256,0.78
3131,-24.0,4.0,2,4,0.79
3132,-20.0,0.0,14,196,0.76
3133,-28.0,8.0,10,100,0.88
3134,-20.0,0.0,4,16,0.79
3135,-20.0,0.0,2,4,0.69
3136,-20.0,0.0,-8,64,0.75
3137,-24.0,4.0,2,4,0.79
3138,-28.0,8.0,-2,4,0.8
3139,-20.0,0.0,10,100,0.82
3140,-20.0,0.0,0,0,0.87
3141,-20.0,0.0,12,144,0.9
3142,-20.0,0.0,6,36,0.73
3143,-24.0,4.0,22,484,0.76
3144,-24.0,4.0,-16,256,0.75
3145,-20.0,0.0,-16,256,0.66
3146,-24.0,4.0,4,16,0.7
3147,-20.0,0.0,0,0,0.8
3148,-24.0,4.0,2,4,0.77
3149,-20.0,0.0,-4,16,0.71
3150,-20.0,0.0,-8,64,0.78
3151,-20.0,0.0,-6,36,0.87
3152,-28.0,8.0,4,16,0.71
3153,-20.0,0.0,-2,4,0.75
3154,-20.0,0.0,2,4,0.76
3155,-20.0,0.0,20,400,0.81
3156,-24.0,4.0,-2,4,0.85
3157,-20.0,0.0,-20,400,0.75
3158,-20.0,0.0,-4,16,0.78
3159,-20.0,0.0,6,36,0.81
3160,-24.0,4.0,-8,64,0.83
3161,-20.0,0.0,6,36,0.83
3162,-24.0,4.0,-22,484,0.8
3163,-20.0,0.0,-8,64,0.75
3164,-20.0,0.0,-14,196,0.89
3165,-20.0,0.0,-2,4,0.82
3166,-24.0,4.0,6,36,0.7
3167,-24.0,4.0,-16,256,0.73
3168,-20.0,0.0,-12,144,0.64
3169,-20.0,0.0,4,16,0.76
3170,-20.0,0.0,8,64,0.84
3171,-20.0,0.0,-6,36,0.77
3172,-20.0,0.0,-10,100,0.74
3173,-28.0,8.0,-10,100,0.76
3174,-28.0,8.0,12,144,0.75
3175,-28.0,8.0,8,64,0.86
3176,-20.0,0.0,-6,36,0.83
3177,-24.0,4.0,-4,16,0.75
3178,-24.0,4.0,-18,324,0.77
3179,-28.0,8.0,-8,64,0.91
3180,-20.0,0.0,-18,324,0.77
3181,-20.0,0.0,-6,36,0.8
3182,-20.0,0.0,-10,100,0.72
3183,-24.0,4.0,6,36,0.82
3184,-20.0,0.0,-12,144,0.81
3185,-20.0,0.0,-14,196,0.65
3186,-20.0,0.0,-14,196,0.84
3187,-20.0,0.0,-14,196,0.68
3188,-20.0,0.0,-20,400,0.77
3189,-20.0,0.0,-14,196,0.77
3190,-20.0,0.0,0,0,0.71
3191,-20.0,0.0,-6,36,0.83
3192,-20.0,0.0,-16,256,0.85
3193,-20.0,0.0,4,16,0.86
3194,-24.0,4.0,0,0,0.68
3195,-20.0,0.0,-16,256,0.8
3196,-20.0,0.0,-14,196,0.79
3197,-20.0,0.0,2,4,0.82
3198,-32.0,12.0,-4,16,0.83
3199,-20.0,0.0,-22,484,0.75
3200,-36.0,16.0,-18,324,0.76
3201,-20.0,0.0,-20,400,0.83
3202,-20.0,0.0,6,36,0.83
3203,-24.0,4.0,-8,64,0.73
3204,-24.0,4.0,-12,144,0.78
3205,-20.0,0.0,12,144,0.76
3206,-20.0,0.0,-6,36,0.91
3207,-20.0,0.0,-14,196,0.74
3208,-24.0,4.0,20,400,0.75
3209,-24.0,4.0,32,1024,0.78
3210,-24.0,4.0,14,196,0.73
3211,-28.0,8.0,-12,144,0.79
3212,-20.0,0.0,-6,36,0.83
3213,-20.0,0.0,-10,100,0.74
3214,-20.0,0.0,-14,196,0.76
3215,-28.0,8.0,-22,484,0.86
3216,-28.0,8.0,0,0,0.73
3217,-20.0,0.0,-18,324,0.69
3218,-32.0,12.0,-12,144,0.73
3219,-24.0,4.0,-16,256,0.76
3220,-20.0,0.0,-2,4,0.83
3221,-20.0,0.0,-4,16,0.81
3222,-20.0,0.0,-6,36,0.79
3223,-24.0,4.0,10,100,0.8
3224,-20.0,0.0,10,100,0.78
3225,-24.0,4.0,10,100,0.76
3226,-24.0,4.0,-16,256,0.79
3227,-20.0,0.0,20,400,0.82
3228,-24.0,4.0,4,16,0.76
3229,-24.0,4.0,4,16,0.9
3230,-24.0,4.0,-2,4,0.81
3231,-24.0,4.0,-8,64,0.73
3232,-24.0,4.0,-22,484,0.79
3233,-20.0,0.0,-4,16,0.77
3234,-20.0,0.0,-16,256,0.82
3235,-20.0,0.0,-14,196,0.79
3236,-20.0,0.0,0,0,0.65
3237,-20.0,0.0,-8,64,0.8
3238,-24.0,4.0,10,100,0.77
3239,-24.0,4.0,8,64,0.79
3240,-20.0,0.0,14,196,0.73
3241,-24.0,4.0,-2,4,0.78
3242,-20.0,0.0,-18,324,0.84
3243,-24.0,4.0,-10,100,0.8
3244,-20.0,0.0,2,4,0.84
3245,-20.0,0.0,4,16,0.79
3246,-20.0,0.0,4,16,0.88
3247,-28.0,8.0,22,484,0.75
3248,-24.0,4.0,-8,64,0.75
3249,-20.0,0.0,0,0,0.76
3250,-28.0,8.0,2,4,0.79
3251,-20.0,0.0,12,144,0.77
3252,-20.0,0.0,14,196,0.79
3253,-20.0,0.0,10,100,0.8
3254,-20.0,0.0,22,484,0.8
3255,-20.0,0.0,4,16,0.81
3256,-20.0,0.0,0,0,0.8
3257,-20.0,0.0,-8,64,0.74
3258,-20.0,0.0,14,196,0.73
3259,-24.0,4.0,22,484,0.74
3260,-20.0,0.0,16,256,0.71
3261,-20.0,0.0,0,0,0.88
3262,-20.0,0.0,14,196,0.71
3263,-24.0,4.0,-4,16,0.69
3264,-24.0,4.0,-10,100,0.83
3265,-20.0,0.0,-30,900,0.8
3266,-20.0,0.0,-20,400,0.83
3267,-28.0,8.0,-36,1296,0.8
3268,-24.0,4.0,-16,256,0.92
3269,-20.0,0.0,0,0,0.76
3270,-20.0,0.0,-26,676,0.73
3271,-20.0,0.0,-18,324,0.76
3272,-20.0,0.0,12,144,0.71
3273,-24.0,4.0,20,400,0.72
3274,-20.0,0.0,-10,100,0.81
3275,-24.0,4.0,6,36,0.8
3276,-24.0,4.0,0,0,0.77
3277,-24.0,4.0,8,64,0.92
3278,-24.0,4.0,18,324,0.71
3279,-20.0,0.0,-6,36,0.86
3280,-20.0,0.0,6,36,0.74
3281,-20.0,0.0,24,576,0.73
3282,-20.0,0.0,14,196,0.73
3283,-28.0,8.0,-6,36,0.86
3284,-20.0,0.0,-12,144,0.63
3285,-24.0,4.0,0,0,0.82
3286,-20.0,0.0,-6,36,0.75
3287,-28.0,8.0,16,256,0.93
3288,-20.0,0.0,2,4,0.81
3289,-24.0,4.0,24,576,0.71
3290,-20.0,0.0,6,36,0.75
3291,-20.0,0.0,2,4,0.72
3292,-20.0,0.0,4,16,0.79
3293,-20.0,0.0,8,64,0.74
3294,-20.0,0.0,34,1156,0.85
3295,-20.0,0.0,2,4,0.82
3296,-20.0,0.0,4,16,0.77
3297,-20.0,0.0,20,400,0.78
3298,-20.0,0.0,8,64,0.78
3299,-20.0,0.0,2,4,0.83
3300,-28.0,8.0,-10,100,0.9
3301,-20.0,0.0,14,196,0.72
3302,-20.0,0.0,14,196,0.76
3303,-20.0,0.0,-12,144,0.79
3304,-24.0,4.0,-2,4,0.81
3305,-24.0,4.0,-4,16,0.85
3306,-20.0,0.0,0,0,0.74
3307,-20.0,0.0,-4,16,0.72
3308,-36.0,16.0,-16,256,0.84
3309,-24.0,4.0,-16,256,0.86
3310,-20.0,0.0,-10,100,0.75
3311,-20.0,0.0,-2,4,0.84
3312,-20.0,0.0,16,256,0.83
3313,-24.0,4.0,-4,16,0.84
3314,-20.0,0.0,12,144,0.82
3315,-28.0,8.0,-8,64,0.84
3316,-20.0,0.0,0,0,0.84
3317,-24.0,4.0,12,144,0.82
3318,-20.0,0.0,-6,36,0.81
3319,-20.0,0.0,-6,36,0.78
3320,-32.0,12.0,-8,64,0.71
3321,-20.0,0.0,8,64,0.86
3322,-20.0,0.0,2,4,0.81
3323,-20.0,0.0,10,100,0.72
3324,-24.0,4.0,24,576,0.81
3325,-20.0,0.0,16,256,0.88
3326,-20.0,0.0,-2,4,0.83
3327,-36.0,16.0,22,484,0.8
3328,-20.0,0.0,22,484,0.74
3329,-32.0,12.0,14,196,0.82
3330,-20.0,0.0,6,36,0.78
3331,-20.0,0.0,-12,144,0.83
3332,-20.0,0.0,-8,64,0.76
3333,-20.0,0.0,16,256,0.78
3334,-24.0,4.0,16,256,0.78
3335,-24.0,4.0,6,36,0.79
3336,-20.0,0.0,2,4,0.82
3337,-24.0,4.0,6,36,0.88
3338,-20.0,0.0,-6,36,0.74
3339,-20.0,0.0,10,100,0.78
3340,-20.0,0.0,14,196,0.84
3341,-24.0,4.0,-6,36,0.74
3342,-24.0,4.0,14,196,0.8
3343,-20.0,0.0,12,144,0.77
3344,-20.0,0.0,18,324,0.73
3345,-20.0,0.0,18,324,0.76
3346,-20.0,0.0,-2,4,0.74
3347,-20.0,0.0,-2,4,0.74
3348,-20.0,0.0,8,64,0.79
3349,-20.0,0.0,2,4,0.81
3350,-20.0,0.0,-8,64,0.81
3351,-24.0,4.0,-2,4,0.71
3352,-20.0,0.0,6,36,0.7
3353,-24.0,4.0,-4,16,0.87
3354,-24.0,4.0,-4,16,0.84
3355,-24.0,4.0,-12,144,0.74
3356,-20.0,0.0,-16,256,0.8
3357,-24.0,4.0,26,676,0.81
3358,-28.0,8.0,30,900,0.94
3359,-20.0,0.0,26,676,0.74
3360,-24.0,4.0,6,36,0.8
3361,-24.0,4.0,-20,400,0.75
3362,-20.0,0.0,8,64,0.82
3363,-20.0,0.0,-4,16,0.78
3364,-24.0,4.0,6,36,0.75
3365,-24.0,4.0,6,36,0.68
3366,-24.0,4.0,-4,16,0.81
3367,-20.0,0.0,-4,16,0.62
3368,-20.0,0.0,2,4,0.69
3369,-20.0,0.0,14,196,0.82
3370,-20.0,0.0,2,4,0.7
3371,-20.0,0.0,2,4,0.72
3372,-20.0,0.0,-4,16,0.89
3373,-28.0,8.0,-12,144,0.8
3374,-20.0,0.0,22,484,0.77
3375,-20.0,0.0,-12,144,0.81
3376,-20.0,0.0,-10,100,0.71
3377,-24.0,4.0,2,4,0.62
3378,-20.0,0.0,-2,4,0.78
3379,-24.0,4.0,-2,4,0.92
3380,-24.0,4.0,0,0,0.81
3381,-20.0,0.0,16,256,0.72
3382,-24.0,4.0,-4,16,0.76
3383,-20.0,0.0,-10,100,0.75
3384,-28.0,8.0,-12,144,0.73
3385,-24.0,4.0,2,4,0.85
3386,-24.0,4.0,4,16,0.79
3387,-24.0,4.0,16,256,0.82
3388,-24.0,4.0,-2,4,0.81
3389,-20.0,0.0,-12,144,0.69
3390,-24.0,4.0,0,0,0.68
3391,-24.0,4.0,-6,36,0.65
3392,-20.0,0.0,2,4,0.8
3393,-36.0,16.0,16,256,0.71
3394,-20.0,0.0,0,0,0.8
3395,-28.0,8.0,20,400,0.7
3396,-28.0,8.0,6,36,0.77
3397,-20.0,0.0,14,196,0.88
3398,-20.0,0.0,0,0,0.75
3399,-24.0,4.0,4,16,0.88
3400,-20.0,0.0,-12,144,0.74
3401,-20.0,0.0,2,4,0.79
3402,-20.0,0.0,-8,64,0.69
3403,-20.0,0.0,-2,4,0.79
3404,-20.0,0.0,6,36,0.82
3405,-24.0,4.0,-24,576,0.83
3406,-24.0,4.0,-8,64,0.78
3407,-20.0,0.0,0,0,0.7
3408,-20.0,0.0,12,144,0.7
3409,-24.0,4.0,0,0,0.88
3410,-20.0,0.0,4,16,0.78
3411,-28.0,8.0,-22,484,0.75
3412,-20.0,0.0,2,4,0.86
3413,-24.0,4.0,6,36,0.78
3414,-24.0,4.0,2,4,0.74
3415,-24.0,4.0,-20,400,0.77
3416,-20.0,0.0,-14,196,0.87
3417,-20.0,0.0,-32,1024,0.79
3418,-20.0,0.0,-36,1296,0.78
3419,-20.0,0.0,-24,576,0.66
3420,-20.0,0.0,6,36,0.81
3421,-20.0,0.0,-18,324,0.74
3422,-24.0,4.0,22,484,0.84
3423,-32.0,12.0,18,324,0.82
3424,-24.0,4.0,8,64,0.73
3425,-32.0,12.0,-6,36,0.79
3426,-20.0,0.0,8,64,0.87
3427,-28.0,8.0,0,0,0.8
3428,-32.0,12.0,-2,4,0.89
3429,-24.0,4.0,4,16,0.75
3430,-24.0,4.0,-10,100,0.83
3431,-20.0,0.0,10,100,0.68
3432,-32.0,12.0,-6,36,0.8
3433,-24.0,4.0,2,4,0.78
3434,-20.0,0.0,0,0,0.71
3435,-20.0,0.0,4,16,0.76
3436,-24.0,4.0,-2,4,0.83
3437,-20.0,0.0,-20,400,0.79
3438,-20.0,0.0,-16,256,0.7
3439,-28.0,8.0,0,0,0.76
3440,-20.0,0.0,10,100,0.77
3441,-20.0,0.0,4,16,0.79
3442,-24.0,4.0,10,100,0.81
3443,-20.0,0.0,10,100,0.82
3444,-20.0,0.0,14,196,0.76
3445,-20.0,0.0,10,100,0.7
3446,-20.0,0.0,-2,4,0.74
3447,-20.0,0.0,-14,196,0.78
3448,-20.0,0.0,-6,36,0.78
3449,-24.0,4.0,8,64,0.69
3450,-24.0,4.0,14,196,0.81
3451,-20.0,0.0,-12,144,0.73
3452,-20.0,0.0,-6,36,0.81
3453,-20.0,0.0,-18,324,0.74
3454,-24.0,4.0,12,144,0.85
3455,-20.0,0.0,10,100,0.73
3456,-20.0,0.0,-8,64,0.77
3457,-20.0,0.0,-6,36,0.75
3458,-24.0,4.0,-2,4,0.76
3459,-24.0,4.0,6,36,0.82
3460,-20.0,0.0,-8,64,0.83
3461,-28.0,8.0,-6,36,0.81
3462,-20.0,0.0,-20,400,0.81
3463,-20.0,0.0,-18,324,0.77
3464,-20.0,0.0,10,100,0.78
3465,-20.0,0.0,6,36,0.78
3466,-24.0,4.0,0,0,0.79
3467,-24.0,4.0,-2,4,0.71
3468,-20.0,0.0,8,64,0.69
3469,-20.0,0.0,-6,36,0.65
3470,-24.0,4.0,16,256,0.79
3471,-20.0,0.0,2,4,0.79
3472,-32.0,12.0,-6,36,0.88
3473,-24.0,4.0,10,100,0.7
3474,-20.0,0.0,-20,400,0.75
3475,-20.0,0.0,-2,4,0.67
3476,-20.0,0.0,-4,16,0.79
3477,-24.0,4.0,10,100,0.85
3478,-28.0,8.0,-14,196,0.88
3479,-24.0,4.0,26,676,0.86
3480,-28.0,8.0,16,256,0.73
3481,-20.0,0.0,-10,100,0.75
3482,-20.0,0.0,-14,196,0.7
3483,-20.0,0.0,-8,64,0.67
3484,-20.0,0.0,12,144,0.8
3485,-24.0,4.0,-4,16,0.7
3486,-28.0,8.0,14,196,0.81
3487,-20.0,0.0,12,144,0.81
3488,-20.0,0.0,-8,64,0.78
3489,-20.0,0.0,-4,16,0.92
3490,-20.0,0.0,6,36,0.85
3491,-20.0,0.0,10,100,0.88
3492,-28.0,8.0,8,64,0.75
3493,-20.0,0.0,30,900,0.77
3494,-24.0,4.0,-2,4,0.82
3495,-28.0,8.0,10,100,0.8
3496,-24.0,4.0,12,144,0.81
3497,-28.0,8.0,-6,36,0.83
3498,-20.0,0.0,0,0,0.79
3499,-24.0,4.0,6,36,0.73
3500,-20.0,0.0,-20,400,0.73
