sweep,E_per_spin,abs_m
1,-1.3555555555555556,0.6622222222222223
2,-1.3644444444444443,0.6466666666666666
3,-1.3822222222222222,0.6666666666666666
4,-1.448888888888889,0.7
5,-1.44,0.6444444444444445
6,-1.4133333333333333,0.6222222222222222
7,-1.3466666666666667,0.6377777777777778
8,-1.2933333333333332,0.6022222222222222
9,-1.3288888888888888,0.5977777777777777
10,-1.3955555555555557,0.5711111111111111
11,-1.3466666666666667,0.5377777777777778
12,-1.4,0.5911111111111111
13,-1.3955555555555557,0.58
14,-1.3911111111111112,0.6
15,-1.3822222222222222,0.5911111111111111
16,-1.3866666666666667,0.58
17,-1.3288888888888888,0.5955555555555555
18,-1.271111111111111,0.5555555555555556
19,-1.3822222222222222,0.5755555555555556
20,-1.5066666666666666,0.6311111111111111
21,-1.431111111111111,0.62
22,-1.4266666666666667,0.5866666666666667
23,-1.4222222222222223,0.6066666666666667
24,-1.4755555555555555,0.5844444444444444
25,-1.56,0.5888888888888889
26,-1.44,0.6066666666666667
27,-1.448888888888889,0.5733333333333334
28,-1.4222222222222223,0.5888888888888889
29,-1.3288888888888888,0.5711111111111111
30,-1.2533333333333334,0.5644444444444444
31,-1.3511111111111112,0.5933333333333334
32,-1.3688888888888888,0.5955555555555555
33,-1.4044444444444444,0.6088888888888889
34,-1.4755555555555555,0.62
35,-1.4844444444444445,0.6355555555555555
36,-1.3022222222222222,0.5822222222222222
37,-1.3022222222222222,0.6044444444444445
38,-1.2444444444444445,0.6222222222222222
39,-1.2622222222222221,0.6044444444444445
40,-1.2622222222222221,0.6533333333333333
41,-1.4044444444444444,0.66
42,-1.3777777777777778,0.6822222222222222
43,-1.3644444444444443,0.6488888888888888
44,-1.3333333333333333,0.6511111111111111
45,-1.3511111111111112,0.6488888888888888
46,-1.3511111111111112,0.6511111111111111
47,-1.36,0.6888888888888889
48,-1.3644444444444443,0.6577777777777778
49,-1.4266666666666667,0.6911111111111111
50,-1.4933333333333334,0.6755555555555556
51,-1.3511111111111112,0.6444444444444445
52,-1.3911111111111112,0.6866666666666666
53,-1.4533333333333334,0.74
54,-1.4622222222222223,0.7422222222222222
55,-1.4533333333333334,0.7177777777777777
56,-1.448888888888889,0.6955555555555556
57,-1.4,0.66
58,-1.3911111111111112,0.6555555555555556
59,-1.4577777777777778,0.6866666666666666
60,-1.4088888888888889,0.6711111111111111
61,-1.4755555555555555,0.68
62,-1.4177777777777778,0.6844444444444444
63,-1.4,0.6733333333333333
64,-1.4,0.6777777777777778
65,-1.4222222222222223,0.7111111111111111
66,-1.3688888888888888,0.6666666666666666
67,-1.471111111111111,0.7155555555555555
68,-1.4933333333333334,0.7266666666666667
69,-1.4444444444444444,0.7044444444444444
70,-1.431111111111111,0.7088888888888889
71,-1.4177777777777778,0.7644444444444445
72,-1.3866666666666667,0.7288888888888889
73,-1.3688888888888888,0.6911111111111111
74,-1.3244444444444445,0.6822222222222222
75,-1.3511111111111112,0.6733333333333333
76,-1.3777777777777778,0.6866666666666666
77,-1.1955555555555555,0.5911111111111111
78,-1.2577777777777779,0.5733333333333334
79,-1.288888888888889,0.6022222222222222
80,-1.3511111111111112,0.6022222222222222
81,-1.36,0.62
82,-1.4,0.6511111111111111
83,-1.4044444444444444,0.6644444444444444
84,-1.3688888888888888,0.6466666666666666
85,-1.3333333333333333,0.6222222222222222
86,-1.3777777777777778,0.6577777777777778
87,-1.2844444444444445,0.6044444444444445
88,-1.3022222222222222,0.6044444444444445
89,-1.3911111111111112,0.6822222222222222
90,-1.4622222222222223,0.6911111111111111
91,-1.4355555555555555,0.66
92,-1.431111111111111,0.6644444444444444
93,-1.3911111111111112,0.6622222222222223
94,-1.4044444444444444,0.7155555555555555
95,-1.5066666666666666,0.7688888888888888
96,-1.4844444444444445,0.76
97,-1.5155555555555555,0.78
98,-1.6088888888888888,0.7911111111111111
99,-1.5822222222222222,0.7888888888888889
100,-1.551111111111111,0.7711111111111111
101,-1.5333333333333334,0.7755555555555556
102,-1.5777777777777777,0.8133333333333334
103,-1.4844444444444445,0.7711111111111111
104,-1.4755555555555555,0.7511111111111111
105,-1.4755555555555555,0.7355555555555555
106,-1.5466666666666666,0.7533333333333333
107,-1.5422222222222222,0.7888888888888889
108,-1.4977777777777779,0.7622222222222222
109,-1.48,0.7355555555555555
110,-1.568888888888889,0.7577777777777778
111,-1.4355555555555555,0.7111111111111111
112,-1.4044444444444444,0.7022222222222222
113,-1.3822222222222222,0.6822222222222222
114,-1.3644444444444443,0.6777777777777778
115,-1.3822222222222222,0.6822222222222222
116,-1.3244444444444445,0.6466666666666666
117,-1.3511111111111112,0.6377777777777778
118,-1.4177777777777778,0.64
119,-1.4622222222222223,0.6844444444444444
120,-1.4088888888888889,0.6622222222222223
121,-1.431111111111111,0.6622222222222223
122,-1.5244444444444445,0.7222222222222222
123,-1.3822222222222222,0.6577777777777778
124,-1.32,0.5933333333333334
125,-1.3777777777777778,0.6266666666666667
126,-1.4,0.6155555555555555
127,-1.3333333333333333,0.5866666666666667
128,-1.3066666666666666,0.5844444444444444
129,-1.2977777777777777,0.5422222222222223
130,-1.24,0.5422222222222223
131,-1.32,0.5555555555555556
132,-1.3377777777777777,0.5733333333333334
133,-1.3022222222222222,0.5577777777777778
134,-1.3511111111111112,0.5511111111111111
135,-1.3688888888888888,0.5644444444444444
136,-1.28,0.5377777777777778
137,-1.4133333333333333,0.6266666666666667
138,-1.4266666666666667,0.6377777777777778
139,-1.3511111111111112,0.5955555555555555
140,-1.3244444444444445,0.5866666666666667
141,-1.3866666666666667,0.6355555555555555
142,-1.448888888888889,0.6466666666666666
143,-1.4222222222222223,0.6
144,-1.3377777777777777,0.56
145,-1.2933333333333332,0.5377777777777778
146,-1.288888888888889,0.5933333333333334
147,-1.288888888888889,0.5644444444444444
148,-1.2844444444444445,0.5622222222222222
149,-1.2933333333333332,0.5644444444444444
150,-1.3333333333333333,0.5866666666666667
151,-1.3644444444444443,0.56
152,-1.3466666666666667,0.5866666666666667
153,-1.3466666666666667,0.5933333333333334
154,-1.3733333333333333,0.5711111111111111
155,-1.3644444444444443,0.5555555555555556
156,-1.3911111111111112,0.5511111111111111
157,-1.3866666666666667,0.58
158,-1.3822222222222222,0.5711111111111111
159,-1.4577777777777778,0.5911111111111111
160,-1.4577777777777778,0.6088888888888889
161,-1.36,0.6044444444444445
162,-1.431111111111111,0.6022222222222222
163,-1.431111111111111,0.6066666666666667
164,-1.4044444444444444,0.6222222222222222
165,-1.4177777777777778,0.6088888888888889
166,-1.4044444444444444,0.6244444444444445
167,-1.4177777777777778,0.62
168,-1.3688888888888888,0.5755555555555556
169,-1.3866666666666667,0.5777777777777777
170,-1.3955555555555557,0.5377777777777778
171,-1.4444444444444444,0.5466666666666666
172,-1.3911111111111112,0.5466666666666666
173,-1.3644444444444443,0.5444444444444444
174,-1.32,0.5266666666666666
175,-1.32,0.5288888888888889
176,-1.3422222222222222,0.52
177,-1.2755555555555556,0.5333333333333333
178,-1.3422222222222222,0.5688888888888889
179,-1.3288888888888888,0.6088888888888889
180,-1.3244444444444445,0.6
181,-1.3377777777777777,0.6222222222222222
182,-1.2577777777777779,0.5844444444444444
183,-1.2755555555555556,0.5977777777777777
184,-1.248888888888889,0.5622222222222222
185,-1.2977777777777777,0.5333333333333333
186,-1.288888888888889,0.5177777777777778
187,-1.2622222222222221,0.5244444444444445
188,-1.2444444444444445,0.49777777777777776
189,-1.2844444444444445,0.5488888888888889
190,-1.3422222222222222,0.5777777777777777
191,-1.2577777777777779,0.5755555555555556
192,-1.3644444444444443,0.6222222222222222
193,-1.3777777777777778,0.6155555555555555
194,-1.2977777777777777,0.5844444444444444
195,-1.2933333333333332,0.5688888888888889
196,-1.2666666666666666,0.5844444444444444
197,-1.3111111111111111,0.6244444444444445
198,-1.3688888888888888,0.6444444444444445
199,-1.32,0.6288888888888889
200,-1.231111111111111,0.6155555555555555
201,-1.271111111111111,0.6533333333333333
202,-1.3244444444444445,0.7022222222222222
203,-1.32,0.6777777777777778
204,-1.4444444444444444,0.7177777777777777
205,-1.471111111111111,0.7
206,-1.44,0.7266666666666667
207,-1.5377777777777777,0.7533333333333333
208,-1.471111111111111,0.72
209,-1.4533333333333334,0.6511111111111111
210,-1.4222222222222223,0.6377777777777778
211,-1.4844444444444445,0.6644444444444444
212,-1.4755555555555555,0.6755555555555556
213,-1.4222222222222223,0.66
214,-1.4444444444444444,0.6711111111111111
215,-1.4666666666666666,0.6444444444444445
216,-1.4088888888888889,0.6666666666666666
217,-1.3288888888888888,0.6622222222222223
218,-1.3644444444444443,0.6688888888888889
219,-1.3733333333333333,0.7044444444444444
220,-1.3911111111111112,0.7333333333333333
221,-1.4444444444444444,0.7377777777777778
222,-1.44,0.7511111111111111
223,-1.4222222222222223,0.7533333333333333
224,-1.4844444444444445,0.7488888888888889
225,-1.48,0.7688888888888888
226,-1.4133333333333333,0.7333333333333333
227,-1.4355555555555555,0.7088888888888889
228,-1.4266666666666667,0.7066666666666667
229,-1.4977777777777779,0.7044444444444444
230,-1.5022222222222221,0.7066666666666667
231,-1.4666666666666666,0.6888888888888889
232,-1.5911111111111111,0.72
233,-1.5244444444444445,0.7133333333333334
234,-1.4755555555555555,0.68
235,-1.431111111111111,0.6333333333333333
236,-1.4266666666666667,0.6333333333333333
237,-1.5644444444444445,0.7022222222222222
238,-1.471111111111111,0.7488888888888889
239,-1.5422222222222222,0.7555555555555555
240,-1.5333333333333334,0.7688888888888888
241,-1.4444444444444444,0.7622222222222222
242,-1.4622222222222223,0.7755555555555556
243,-1.5244444444444445,0.78
244,-1.551111111111111,0.7777777777777778
245,-1.568888888888889,0.7777777777777778
246,-1.4444444444444444,0.74
247,-1.3955555555555557,0.7
248,-1.431111111111111,0.7288888888888889
249,-1.4533333333333334,0.7466666666666667
250,-1.448888888888889,0.7066666666666667
251,-1.488888888888889,0.7
252,-1.4577777777777778,0.6866666666666666
253,-1.3066666666666666,0.6888888888888889
254,-1.3333333333333333,0.6844444444444444
255,-1.3155555555555556,0.6688888888888889
256,-1.2755555555555556,0.6533333333333333
257,-1.2844444444444445,0.6088888888888889
258,-1.2977777777777777,0.6
259,-1.2755555555555556,0.6244444444444445
260,-1.3555555555555556,0.6644444444444444
